"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"47","Lupinus_spp.",0,0,7.5,6,7.5,0.0127323954473516,1,2,0,0,0,0.000353677651315323,0,0,0.000601720011689585,7,0.00497359197162173,3.5,4,1,0.00318309886183791,2,6,0,0,0.000795774715459477,6.5,7,0,0.0353677651315323,8,0,0,0.00497359197162173,6.5,0,7.5,0.0127323954473516,2.5,4.5,90.0757140112098
"48","Luzula_parviflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0,0.000982437920320342
"49","Luzula_piperi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.00884194128288308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50884194128288
"50","Micranthes_ferruginea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0.00110141829129339,0,0,2.50110141829129
"51","Mimulus_tilingii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308
"52","Minuartia_rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509295817894065,0,0,0,0,0.0509295817894065
"53","Orthilia_secunda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0.00141471060526129,0,0,0,0,0,0,0,0,0,0.00649612012619981,0.0432785958629934
"54","Parnassia_fimbriata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,0.0822081317623427
"55","Penstemon_davidsonii",0,0,0,0,0,0,0,0.000157190067251255,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0.00221048532072077,0,0,0.00392975168128137,0,0.000127323954473516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1.50722052573919
"56","Penstemon_procerus",0,0.0353677651315323,0.00884194128288308,0,0.00884194128288308,0.00318309886183791,1.5,0.00318309886183791,0,0,1,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,3.5,0.0198943678864869,0,0,0,0.0127323954473516,0.00141471060526129,1.5,5,0,0,0,0,0,0,0,1.5,3,17.0942550940755
"57","Petasites_frigidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342
"58","Phacelia_sericea",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
