Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08
forb	Asteraceae	coltsfoot	Petasites	frigidus																						"4,4,4,4"																		
forb	Asteraceae	coltsfoot	Petasites	frigidus													"0,1,0,0"	5m																										
forb	Boraginaceae	silky phacelia	Phacelia	sericea											12m																													
forb	Boraginaceae	silky phacelia	Phacelia	sericea																																	"1,0,0,0"							
forb	Boraginaceae	silky phacelia	Phacelia	sericea														3m																										
gramminoid	Poaceae	alpinecat's-tail	Phleum	alpinum																															10m									
forb	Polemoniaceae	spreadingphlox	Phlox	diffusa																																								"2,1,1,2"
forb	Asteraceae	woollyhawksweed	Hieracium	triste																																	16m							
forb	Asteraceae	woollyhawksweed	Hieracium	triste																						25m																		
monocot	Orchidaceae	WhiteBogOrchid	Platanthera	dilatata																						"0,2,4,0"																		
monocot	Orchidaceae	WhiteBogOrchid	Platanthera	dilatata																											10m													
monocot	Orchidaceae	WhiteBogOrchid	Platanthera	dilatata																																"4,4,4,4"			"0,2,1,1"					
monocot	Orchidaceae	WhiteBogOrchid	Platanthera	dilatata													4m																											
monocot	Orchidaceae	WhiteBogOrchid	Platanthera	dilatata												3m																												
gramminoid	Poaceae	Alpinebluegrass	Poa	alpina									"0,0,0,2"																															
gramminoid	Poaceae	Alpinebluegrass	Poa	alpina											"1,0,0,0"																													
gramminoid	Poaceae	spp	Poa																							"1,3,1,3"																		
gramminoid	Poaceae	spp60	Poa																							20m																		
gramminoid	Poaceae	spp.	Poa								5m	"0,0,2"	1																															
gramminoid	Poaceae	spp.33	Poa										"4,4,4,4"																															
gramminoid	Poaceae	spp1	Poa																						15m																			
gramminoid	Poaceae	spp1	Poa																																								"0,0,0,2"	
gramminoid	Poaceae	spp1(hairy)	poa																													"1,0,0,0"	11m											
gramminoid	Poaceae	spp2	Poa																													3m	2m											
gramminoid	Poaceae	spp3	Poa																													4m			15m									
gramminoid	Poaceae	spp4(tall)	Poa																																2m									
gramminoid	Poaceae	PoasppWP40tall	Poa																					3m																				
gramminoid	Poaceae	PoaSppWP-69tall	Poa																			5m	15m	3m																				
fern	Dryopteridaceae	hollyfern	Polystichium															20m																										
fern	Dryopteridaceae	Braun'shollyfern	Polystichum	braunii											6m																													
fern	Dryopteridaceae	northernhollyfern	Polystichum	lonchitis																					2m	5m																		
fern	Dryopteridaceae	hollyfern	Polystichum																				16m																					
forb	Rosaceae	Blue-leaved Cinquefoil 	Potentilla	glaucophylla																							7m																	
forb	Rosaceae	Blue-leaved Cinquefoil 	Potentilla	glaucophylla																																							"1,0,2,0"	
evergreen	Ericaceae	Pinkwintergreen	Pyrola	asarifolia					"4,0,0,0"																																			
evergreen	Ericaceae	Pinkwintergreen	Pyrola	asarifolia							"0,0,2,3"																																	
forb	Ranunculaceae	Eschscholtz'sbuttercup	Ranunculus	eschscholtzii																								3m																
